,titles,images,ratings,prices,product_urls
93,"vivo T3 5G (Crystal Flake, 128 GB)",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/6/x/2/-original-imagz6tzewyqpgtz.jpeg?q=70,4.4,"₹18,499",https://flipkart.com/vivo-t3-5g-crystal-flake-128-gb/p/itm69b3c5633378f?pid=MOBGYT3VN2J3GM45&lid=LSTMOBGYT3VN2J3GM45LBHTKC&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_4_74&otracker=search&otracker1=search&fm=Search&iid=4770286b-d981-48f7-be8c-d35b15875cae.MOBGYT3VN2J3GM45.SEARCH&ppt=sp&ppn=sp&ssid=y23f8kz7k00000001730665762761&qH=eb4af0bf07c16429
94,"SAMSUNG Galaxy S23 FE (Mint, 256 GB)",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/8/v/0/-original-imah5ywfebrs9bfg.jpeg?q=70,4.3,"₹32,999",https://flipkart.com/samsung-galaxy-s23-fe-mint-256-gb/p/itmdb72279972171?pid=MOBGVTA2R8ZH4G3C&lid=LSTMOBGVTA2R8ZH4G3C8XDOZH&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_4_75&otracker=search&otracker1=search&fm=Search&iid=4770286b-d981-48f7-be8c-d35b15875cae.MOBGVTA2R8ZH4G3C.SEARCH&ppt=sp&ppn=sp&ssid=y23f8kz7k00000001730665762761&qH=eb4af0bf07c16429
95,"realme P1 5G (Feather Blue, 128 GB)",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/y/x/f/-original-imah4khx9u3zxdbk.jpeg?q=70,4.4,"₹14,999",https://flipkart.com/realme-p1-5g-feather-blue-128-gb/p/itmae4447062b5b5?pid=MOBH4GSKATGPQSAU&lid=LSTMOBH4GSKATGPQSAUXI0KNN&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_4_76&otracker=search&otracker1=search&fm=Search&iid=4770286b-d981-48f7-be8c-d35b15875cae.MOBH4GSKATGPQSAU.SEARCH&ppt=sp&ppn=sp&ssid=y23f8kz7k00000001730665762761&qH=eb4af0bf07c16429
96,"realme P1 5G (Peacock Green, 128 GB)",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/j/b/n/-original-imahyuhfzvybhaat.jpeg?q=70,4.4,"₹15,999",https://flipkart.com/realme-p1-5g-peacock-green-128-gb/p/itmae4447062b5b5?pid=MOBGZSU4HH7YZW6D&lid=LSTMOBGZSU4HH7YZW6D3I1RBM&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_4_77&otracker=search&otracker1=search&fm=Search&iid=4770286b-d981-48f7-be8c-d35b15875cae.MOBGZSU4HH7YZW6D.SEARCH&ppt=sp&ppn=sp&ssid=y23f8kz7k00000001730665762761&qH=eb4af0bf07c16429
97,"Motorola Edge 50 Neo (PANTONE Grisaille, 256 GB)",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/z/z/c/edge-50-neo-pb330000in-motorola-original-imah4pxa79ptumnv.jpeg?q=70,4.4,"₹23,999",https://flipkart.com/motorola-edge-50-neo-pantone-grisaille-256-gb/p/itm5b85defa76389?pid=MOBHFHDRVUDB3HFX&lid=LSTMOBHFHDRVUDB3HFXLMEVTW&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_4_78&otracker=search&otracker1=search&fm=Search&iid=4770286b-d981-48f7-be8c-d35b15875cae.MOBHFHDRVUDB3HFX.SEARCH&ppt=sp&ppn=sp&ssid=y23f8kz7k00000001730665762761&qH=eb4af0bf07c16429
98,"SAMSUNG Galaxy S23 FE (Graphite, 128 GB)",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/x/k/h/-original-imah5ywff9rr76zh.jpeg?q=70,4.3,"₹29,999",https://flipkart.com/samsung-galaxy-s23-fe-graphite-128-gb/p/itme751066521899?pid=MOBGVTA2836DQWTT&lid=LSTMOBGVTA2836DQWTTISGIME&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_4_79&otracker=search&otracker1=search&fm=Search&iid=4770286b-d981-48f7-be8c-d35b15875cae.MOBGVTA2836DQWTT.SEARCH&ppt=sp&ppn=sp&ssid=y23f8kz7k00000001730665762761&qH=eb4af0bf07c16429
99,"Nothing Phone (2a) Plus (Black, 256 GB)",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/d/k/i/-original-imah39xxhwwey8hr.jpeg?q=70,4.4,"₹25,999",https://flipkart.com/nothing-phone-2a-plus-black-256-gb/p/itm0c99b11bfe22d?pid=MOBH322WW3NZ5HRY&lid=LSTMOBH322WW3NZ5HRYQF8TQZ&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_4_80&otracker=search&otracker1=search&fm=Search&iid=4770286b-d981-48f7-be8c-d35b15875cae.MOBH322WW3NZ5HRY.SEARCH&ppt=sp&ppn=sp&ssid=y23f8kz7k00000001730665762761&qH=eb4af0bf07c16429
100,"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Breeze Blue, 256 GB)",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/m/e/3/-original-imah37gwn2xbvzhy.jpeg?q=70,4.5,"₹15,999",https://flipkart.com/oppo-k12x-5g-45w-supervooc-charger-in-the-box-breeze-blue-256-gb/p/itma30cb38861d4c?pid=MOBH2Q4PGJCZZGT5&lid=LSTMOBH2Q4PGJCZZGT5FYFH80&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_4_81&otracker=search&otracker1=search&fm=Search&iid=4770286b-d981-48f7-be8c-d35b15875cae.MOBH2Q4PGJCZZGT5.SEARCH&ppt=sp&ppn=sp&ssid=y23f8kz7k00000001730665762761&qH=eb4af0bf07c16429
101,"Infinix Smart 8 Plus (Galaxy White, 128 GB)",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/7/d/g/smart-8-plus-x6526-infinix-original-imagyjm9mbwfhsyq.jpeg?q=70,4.3,"₹7,799",https://flipkart.com/infinix-smart-8-plus-galaxy-white-128-gb/p/itmb71da75c376e1?pid=MOBGYA22FYTZKRW4&lid=LSTMOBGYA22FYTZKRW4UKLRNR&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_4_82&otracker=search&otracker1=search&fm=Search&iid=4770286b-d981-48f7-be8c-d35b15875cae.MOBGYA22FYTZKRW4.SEARCH&ppt=sp&ppn=sp&ssid=y23f8kz7k00000001730665762761&qH=eb4af0bf07c16429
102,"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Midnight Voilet, 256 GB)",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/s/m/0/-original-imah37gw2wv2ayrf.jpeg?q=70,4.5,"₹15,999",https://flipkart.com/oppo-k12x-5g-45w-supervooc-charger-in-the-box-midnight-voilet-256-gb/p/itma30cb38861d4c?pid=MOBH2Q4PGAVECMVA&lid=LSTMOBH2Q4PGAVECMVAWNAD45&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_4_83&otracker=search&otracker1=search&fm=Search&iid=4770286b-d981-48f7-be8c-d35b15875cae.MOBH2Q4PGAVECMVA.SEARCH&ppt=sp&ppn=sp&ssid=y23f8kz7k00000001730665762761&qH=eb4af0bf07c16429
